Random Sampling
Training parameters: {'LOG_DIR': '../logs', 'dataset': 'cars', 'sz_embedding': 512, 'sz_batch': 128, 'nb_epochs': 60, 'gpu_id': 0, 'nb_workers': 0, 'model': 'googlenet', 'loss': 'Triplet', 'optimizer': 'adamw', 'lr': 0.0001, 'weight_decay': 0.0001, 'lr_decay_step': 20, 'lr_decay_gamma': 0.5, 'alpha': 32, 'mrg': 0.1, 'IPC': None, 'warm': 1, 'bn_freeze': 1, 'l2_norm': 1, 'remark': ''}
Training for 60 epochs.

0it [00:00, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.052902: : 0it [00:02, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.052902: : 1it [00:02,  2.70s/it]
Train Epoch: 0 [2/62 (2%)] Loss: 0.051951: : 1it [00:04,  4.06s/it]
Train Epoch: 0 [32/62 (50%)] Loss: 0.049526: : 31it [00:38,  1.24s/it]
Train Epoch: 0 [32/62 (50%)] Loss: 0.049526: : 32it [00:38,  1.20s/it]
Train Epoch: 0 [33/62 (52%)] Loss: 0.049741: : 32it [00:39,  1.24s/it]
Train Epoch: 0 [33/62 (52%)] Loss: 0.049741: : 33it [00:39,  1.21s/it]
Train Epoch: 0 [34/62 (53%)] Loss: 0.050195: : 33it [00:41,  1.25s/it]
Train Epoch: 0 [34/62 (53%)] Loss: 0.050195: : 34it [00:41,  1.21s/it]
Train Epoch: 0 [35/62 (55%)] Loss: 0.048665: : 34it [00:42,  1.24s/it]
Train Epoch: 0 [35/62 (55%)] Loss: 0.048665: : 35it [00:42,  1.21s/it]
Train Epoch: 0 [36/62 (56%)] Loss: 0.050265: : 35it [00:43,  1.24s/it]
Train Epoch: 0 [36/62 (56%)] Loss: 0.050265: : 36it [00:43,  1.21s/it]
Train Epoch: 0 [37/62 (58%)] Loss: 0.050864: : 36it [00:44,  1.24s/it]
Train Epoch: 0 [37/62 (58%)] Loss: 0.050864: : 37it [00:44,  1.21s/it]
Train Epoch: 0 [38/62 (60%)] Loss: 0.048737: : 37it [00:45,  1.24s/it]
Train Epoch: 0 [38/62 (60%)] Loss: 0.048737: : 38it [00:45,  1.21s/it]
Train Epoch: 0 [39/62 (61%)] Loss: 0.050626: : 38it [00:47,  1.25s/it]
Train Epoch: 0 [39/62 (61%)] Loss: 0.050626: : 39it [00:47,  1.22s/it]
Train Epoch: 0 [40/62 (63%)] Loss: 0.049599: : 39it [00:48,  1.25s/it]
Train Epoch: 0 [40/62 (63%)] Loss: 0.049599: : 40it [00:48,  1.22s/it]
Train Epoch: 0 [41/62 (65%)] Loss: 0.049944: : 40it [00:49,  1.25s/it]
Train Epoch: 0 [41/62 (65%)] Loss: 0.049944: : 41it [00:49,  1.22s/it]
Train Epoch: 0 [42/62 (66%)] Loss: 0.049640: : 41it [00:51,  1.25s/it]
Train Epoch: 0 [42/62 (66%)] Loss: 0.049640: : 42it [00:51,  1.22s/it]
Train Epoch: 0 [43/62 (68%)] Loss: 0.048447: : 42it [00:52,  1.25s/it]
Train Epoch: 0 [43/62 (68%)] Loss: 0.048447: : 43it [00:52,  1.22s/it]
Train Epoch: 0 [44/62 (69%)] Loss: 0.049528: : 43it [00:53,  1.25s/it]
Train Epoch: 0 [44/62 (69%)] Loss: 0.049528: : 44it [00:53,  1.22s/it]
Train Epoch: 0 [45/62 (71%)] Loss: 0.050500: : 44it [00:54,  1.25s/it]
Train Epoch: 0 [45/62 (71%)] Loss: 0.050500: : 45it [00:54,  1.22s/it]
Train Epoch: 0 [46/62 (73%)] Loss: 0.051148: : 45it [00:55,  1.24s/it]
Train Epoch: 0 [46/62 (73%)] Loss: 0.051148: : 46it [00:55,  1.22s/it]
Train Epoch: 0 [47/62 (74%)] Loss: 0.050725: : 46it [00:57,  1.25s/it]
Train Epoch: 0 [47/62 (74%)] Loss: 0.050725: : 47it [00:57,  1.22s/it]
Train Epoch: 0 [48/62 (76%)] Loss: 0.048265: : 47it [00:59,  1.26s/it]
Train Epoch: 0 [48/62 (76%)] Loss: 0.048265: : 48it [00:59,  1.23s/it]
Train Epoch: 0 [49/62 (77%)] Loss: 0.050147: : 48it [01:00,  1.25s/it]
Train Epoch: 0 [49/62 (77%)] Loss: 0.050147: : 49it [01:00,  1.23s/it]
Train Epoch: 0 [50/62 (79%)] Loss: 0.050130: : 49it [01:01,  1.25s/it]
Train Epoch: 0 [50/62 (79%)] Loss: 0.050130: : 50it [01:01,  1.22s/it]
Train Epoch: 0 [51/62 (81%)] Loss: 0.048309: : 50it [01:02,  1.25s/it]
Train Epoch: 0 [51/62 (81%)] Loss: 0.048309: : 51it [01:02,  1.22s/it]
Train Epoch: 0 [52/62 (82%)] Loss: 0.050265: : 51it [01:03,  1.24s/it]
Train Epoch: 0 [52/62 (82%)] Loss: 0.050265: : 52it [01:03,  1.22s/it]
