Random Sampling
Training parameters: {'LOG_DIR': '../logs', 'dataset': 'cars', 'sz_embedding': 512, 'sz_batch': 128, 'nb_epochs': 1, 'gpu_id': 0, 'nb_workers': 0, 'model': 'bn_inception', 'loss': 'TripletPCA2', 'optimizer': 'adamw', 'lr': 0.0001, 'weight_decay': 0.0001, 'lr_decay_step': 20, 'lr_decay_gamma': 0.5, 'alpha': 32, 'mrg': 0.1, 'IPC': None, 'warm': 1, 'bn_freeze': 1, 'l2_norm': 1, 'remark': ''}
Training for 1 epochs.

0it [00:00, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.057808: : 0it [00:02, ?it/s]
Train Epoch: 0 [1/62 (0%)] Loss: 0.057808: : 1it [00:02,  2.70s/it]
Train Epoch: 0 [2/62 (2%)] Loss: 0.057288: : 1it [00:03,  3.87s/it]
Train Epoch: 0 [32/62 (50%)] Loss: 0.054581: : 31it [00:46,  1.49s/it]
Train Epoch: 0 [32/62 (50%)] Loss: 0.054581: : 32it [00:46,  1.44s/it]
Train Epoch: 0 [33/62 (52%)] Loss: 0.050775: : 32it [00:47,  1.48s/it]
Train Epoch: 0 [33/62 (52%)] Loss: 0.050775: : 33it [00:47,  1.44s/it]
Train Epoch: 0 [34/62 (53%)] Loss: 0.056040: : 33it [00:48,  1.48s/it]
Train Epoch: 0 [34/62 (53%)] Loss: 0.056040: : 34it [00:48,  1.44s/it]
Train Epoch: 0 [35/62 (55%)] Loss: 0.057399: : 34it [00:50,  1.48s/it]
Train Epoch: 0 [35/62 (55%)] Loss: 0.057399: : 35it [00:50,  1.44s/it]
Train Epoch: 0 [36/62 (56%)] Loss: 0.052809: : 35it [00:51,  1.48s/it]
Train Epoch: 0 [36/62 (56%)] Loss: 0.052809: : 36it [00:51,  1.43s/it]
Train Epoch: 0 [37/62 (58%)] Loss: 0.055898: : 36it [00:52,  1.47s/it]
Train Epoch: 0 [37/62 (58%)] Loss: 0.055898: : 37it [00:52,  1.43s/it]
Train Epoch: 0 [38/62 (60%)] Loss: 0.054512: : 37it [00:54,  1.47s/it]
Train Epoch: 0 [38/62 (60%)] Loss: 0.054512: : 38it [00:54,  1.43s/it]
Train Epoch: 0 [39/62 (61%)] Loss: 0.059471: : 38it [00:55,  1.47s/it]
Train Epoch: 0 [39/62 (61%)] Loss: 0.059471: : 39it [00:55,  1.43s/it]
Train Epoch: 0 [40/62 (63%)] Loss: 0.059463: : 39it [00:56,  1.46s/it]
Train Epoch: 0 [40/62 (63%)] Loss: 0.059463: : 40it [00:56,  1.42s/it]
Train Epoch: 0 [41/62 (65%)] Loss: 0.052520: : 40it [00:58,  1.46s/it]
Train Epoch: 0 [41/62 (65%)] Loss: 0.052520: : 41it [00:58,  1.42s/it]
Train Epoch: 0 [42/62 (66%)] Loss: 0.056942: : 41it [00:59,  1.46s/it]
Train Epoch: 0 [42/62 (66%)] Loss: 0.056942: : 42it [00:59,  1.42s/it]
Train Epoch: 0 [43/62 (68%)] Loss: 0.055849: : 42it [01:01,  1.45s/it]
Train Epoch: 0 [43/62 (68%)] Loss: 0.055849: : 43it [01:01,  1.42s/it]
Train Epoch: 0 [44/62 (69%)] Loss: 0.058356: : 43it [01:03,  1.47s/it]
Train Epoch: 0 [44/62 (69%)] Loss: 0.058356: : 44it [01:03,  1.44s/it]
Train Epoch: 0 [45/62 (71%)] Loss: 0.054785: : 44it [01:04,  1.47s/it]
Train Epoch: 0 [45/62 (71%)] Loss: 0.054785: : 45it [01:04,  1.43s/it]
Train Epoch: 0 [46/62 (73%)] Loss: 0.060181: : 45it [01:05,  1.46s/it]
Train Epoch: 0 [46/62 (73%)] Loss: 0.060181: : 46it [01:05,  1.43s/it]
Train Epoch: 0 [47/62 (74%)] Loss: 0.058406: : 46it [01:07,  1.46s/it]
Train Epoch: 0 [47/62 (74%)] Loss: 0.058406: : 47it [01:07,  1.43s/it]
Train Epoch: 0 [48/62 (76%)] Loss: 0.054138: : 47it [01:08,  1.46s/it]
Train Epoch: 0 [48/62 (76%)] Loss: 0.054138: : 48it [01:08,  1.43s/it]
Train Epoch: 0 [49/62 (77%)] Loss: 0.059845: : 48it [01:09,  1.46s/it]
Train Epoch: 0 [49/62 (77%)] Loss: 0.059845: : 49it [01:09,  1.43s/it]
Train Epoch: 0 [50/62 (79%)] Loss: 0.055817: : 49it [01:11,  1.45s/it]
Train Epoch: 0 [50/62 (79%)] Loss: 0.055817: : 50it [01:11,  1.42s/it]
Train Epoch: 0 [51/62 (81%)] Loss: 0.052393: : 50it [01:12,  1.45s/it]
Train Epoch: 0 [51/62 (81%)] Loss: 0.052393: : 51it [01:12,  1.42s/it]
Train Epoch: 0 [52/62 (82%)] Loss: 0.054805: : 51it [01:13,  1.45s/it]
Train Epoch: 0 [52/62 (82%)] Loss: 0.054805: : 52it [01:13,  1.42s/it]
Train Epoch: 0 [53/62 (84%)] Loss: 0.057081: : 52it [01:15,  1.44s/it]
Train Epoch: 0 [53/62 (84%)] Loss: 0.057081: : 53it [01:15,  1.42s/it]
Train Epoch: 0 [54/62 (85%)] Loss: 0.059837: : 53it [01:16,  1.45s/it]
Train Epoch: 0 [54/62 (85%)] Loss: 0.059837: : 54it [01:16,  1.42s/it]
Train Epoch: 0 [55/62 (87%)] Loss: 0.057779: : 54it [01:18,  1.45s/it]
Train Epoch: 0 [55/62 (87%)] Loss: 0.057779: : 55it [01:18,  1.42s/it]
Train Epoch: 0 [56/62 (89%)] Loss: 0.053684: : 55it [01:19,  1.45s/it]
Train Epoch: 0 [56/62 (89%)] Loss: 0.053684: : 56it [01:19,  1.42s/it]
Train Epoch: 0 [57/62 (90%)] Loss: 0.055597: : 56it [01:20,  1.44s/it]
Train Epoch: 0 [57/62 (90%)] Loss: 0.055597: : 57it [01:20,  1.42s/it]
Train Epoch: 0 [58/62 (92%)] Loss: 0.056158: : 57it [01:22,  1.44s/it]
Train Epoch: 0 [58/62 (92%)] Loss: 0.056158: : 58it [01:22,  1.41s/it]
Train Epoch: 0 [59/62 (94%)] Loss: 0.058341: : 58it [01:23,  1.44s/it]
Train Epoch: 0 [59/62 (94%)] Loss: 0.058341: : 59it [01:23,  1.41s/it]
Train Epoch: 0 [60/62 (95%)] Loss: 0.056755: : 59it [01:24,  1.43s/it]
Train Epoch: 0 [60/62 (95%)] Loss: 0.056755: : 60it [01:24,  1.41s/it]
Train Epoch: 0 [61/62 (97%)] Loss: 0.055212: : 60it [01:25,  1.43s/it]
Train Epoch: 0 [61/62 (97%)] Loss: 0.055212: : 61it [01:25,  1.41s/it]
Train Epoch: 0 [62/62 (98%)] Loss: 0.054162: : 61it [01:27,  1.43s/it]
Train Epoch: 0 [62/62 (98%)] Loss: 0.054162: : 62it [01:27,  1.40s/it]
**Evaluating...**

  0%|          | 0/64 [00:00<?, ?it/s]
  2%|▏         | 1/64 [00:01<01:26,  1.37s/it]
  3%|▎         | 2/64 [00:02<01:31,  1.48s/it]
  5%|▍         | 3/64 [00:04<01:28,  1.45s/it]
  6%|▋         | 4/64 [00:05<01:23,  1.40s/it]
  8%|▊         | 5/64 [00:06<01:17,  1.31s/it]
  9%|▉         | 6/64 [00:07<01:13,  1.27s/it]
 11%|█         | 7/64 [00:08<01:09,  1.22s/it]
 12%|█▎        | 8/64 [00:09<01:09,  1.25s/it]
 14%|█▍        | 9/64 [00:12<01:17,  1.41s/it]
 16%|█▌        | 10/64 [00:13<01:14,  1.37s/it]
 17%|█▋        | 11/64 [00:14<01:11,  1.36s/it]
 19%|█▉        | 12/64 [00:15<01:08,  1.31s/it]
 20%|██        | 13/64 [00:16<01:05,  1.29s/it]
 22%|██▏       | 14/64 [00:17<01:03,  1.26s/it]
 23%|██▎       | 15/64 [00:18<01:00,  1.24s/it]
 25%|██▌       | 16/64 [00:19<00:59,  1.24s/it]
 27%|██▋       | 17/64 [00:20<00:57,  1.23s/it]
 28%|██▊       | 18/64 [00:22<00:56,  1.22s/it]
 30%|██▉       | 19/64 [00:23<00:55,  1.24s/it]
 31%|███▏      | 20/64 [00:24<00:53,  1.22s/it]
 33%|███▎      | 21/64 [00:25<00:52,  1.22s/it]
 34%|███▍      | 22/64 [00:26<00:50,  1.21s/it]
 36%|███▌      | 23/64 [00:28<00:50,  1.24s/it]
 38%|███▊      | 24/64 [00:29<00:49,  1.23s/it]
 39%|███▉      | 25/64 [00:30<00:47,  1.22s/it]
 41%|████      | 26/64 [00:31<00:46,  1.22s/it]
 42%|████▏     | 27/64 [00:33<00:46,  1.25s/it]
 44%|████▍     | 28/64 [00:35<00:45,  1.26s/it]
 45%|████▌     | 29/64 [00:36<00:43,  1.25s/it]
 47%|████▋     | 30/64 [00:38<00:43,  1.29s/it]
 48%|████▊     | 31/64 [00:41<00:43,  1.33s/it]
 50%|█████     | 32/64 [00:43<00:43,  1.37s/it]
 52%|█████▏    | 33/64 [00:46<00:43,  1.41s/it]
 53%|█████▎    | 34/64 [00:47<00:42,  1.41s/it]
 55%|█████▍    | 35/64 [00:49<00:41,  1.42s/it]
 56%|█████▋    | 36/64 [00:51<00:39,  1.42s/it]
 58%|█████▊    | 37/64 [00:52<00:38,  1.42s/it]
 59%|█████▉    | 38/64 [00:53<00:36,  1.41s/it]
 61%|██████    | 39/64 [00:54<00:35,  1.40s/it]
 62%|██████▎   | 40/64 [00:56<00:33,  1.40s/it]
 64%|██████▍   | 41/64 [00:57<00:32,  1.39s/it]
 66%|██████▌   | 42/64 [00:59<00:30,  1.41s/it]
 67%|██████▋   | 43/64 [01:01<00:30,  1.44s/it]
